RPY: 62.93,-61.62,82.75
Q4: -0.58,0.19,0.60,0.52;RPY: 62.43,-62.18,85.18
Q4: -0.57,0.19,0.60,0.53;RPY: 63.00,-68.06,83.00
Q4: -0.57,0.18,0.62,0.51;RPY: 70.43,-66.62,80.62
Q4: -0.57,0.25,0.61,0.49;RPY: 69.12,-69.12,83.12
Q4: -0.56,0.25,0.61,0.50;RPY: 68.68,-69.75,83.56
Q4: -0.56,0.24,0.61,0.50;RPY: 68.62,-69.87,83.12
Q4: -0.56,0.24,0.62,0.50;RPY: 67.18,-70.06,83.50
Q4: -0.56,0.23,0.62,0.50;RPY: 67.18,-70.12,83.37
Q4: -0.56,0.23,0.62,0.50;RPY: 65.75,-70.93,86.18
Q4: -0.55,0.23,0.62,0.51;RPY: 59.18,-61.68,90.31
Q4: -0.56,0.18,0.59,0.56;RPY: 14.68,-37.93,104.06
Q4: -0.58,-0.09,0.33,0.74;RPY: 12.62,-37.06,105.81
Q4: -0.57,-0.10,0.32,0.75;RPY: 13.93,-37.37,105.62
Q4: -0.57,-0.09,0.33,0.75;RPY: 16.37,-37.75,104.68
Q4: -0.57,-0.07,0.34,0.74;RPY: 17.56,-38.06,104.43
Q4: -0.57,-0.06,0.35,0.74;RPY: 13.93,-37.50,106.62
Q4: -0.56,-0.08,0.33,0.75;RPY: 13.87,-37.37,106.62
Q4: -0.56,-0.08,0.33,0.75;RPY: 13.75,-37.62,106.81
Q4: -0.56,-0.09,0.33,0.76;RPY: 13.43,-37.81,106.50
Q4: -0.56,-0.09,0.33,0.75;RPY: 13.00,-38.12,106.25
Q4: -0.56,-0.10,0.33,0.75;RPY: 24.43,-43.62,31.37
Q4: -0.88,-0.27,0.31,0.25;RPY: 25.00,-43.18,32.50
Q4: -0.87,-0.26,0.32,0.25;RPY: 24.00,-47.00,32.87
Q4: -0.86,-0.29,0.32,0.25;RPY: 23.93,-48.06,34.12
Q4: -0.86,-0.30,0.33,0.26;RPY: 23.81,-48.56,34.37
Q4: -0.86,-0.30,0.33,0.26;RPY: 23.12,-49.87,34.75
Q4: -0.85,-0.31,0.33,0.27;RPY: 23.06,-50.00,35.12
Q4: -0.85,-0.31,0.33,0.27;RPY: 23.12,-50.00,35.18
Q4: -0.85,-0.31,0.33,0.27;RPY: 23.18,-49.87,35.12
Q4: -0.85,-0.31,0.33,0.27;RPY: 23.31,-49.93,34.93
Q4: -0.85,-0.31,0.33,0.27;RPY: 24.37,-49.93,35.12
Q4: -0.85,-0.30,0.34,0.27;RPY: 24.06,-49.81,35.75
Q4: -0.85,-0.30,0.34,0.27;RPY: 25.18,-48.25,36.50
Q4: -0.85,-0.28,0.34,0.28;RPY: 25.25,-44.12,39.56
Q4: -0.85,-0.25,0.34,0.31;RPY: 26.43,-42.75,38.50
Q4: -0.86,-0.23,0.34,0.30;RPY: 76.50,173.00,92.12
Q4: -0.43,0.58,0.53,0.45;RPY: 74.00,170.81,89.93
Q4: -0.43,0.59,0.54,0.43;RPY: 69.68,167.37,86.81
Q4: -0.42,0.61,0.55,0.40;RPY: 68.87,167.18,86.31
Q4: -0.42,0.61,0.55,0.39;RPY: 67.31,164.56,82.81
Q4: -0.42,0.61,0.56,0.37;RPY: 68.31,168.25,83.43
Q4: -0.42,0.60,0.57,0.38;RPY: 68.68,166.62,80.75
Q4: -0.43,0.59,0.58,0.37;RPY: 38.37,-39.81,114.50
Q4: -0.48,0.14,0.42,0.75;RPY: 11.68,-33.06,121.75
Q4: -0.46,-0.04,0.30,0.83;RPY: 38.87,302.10,230.64
Q4: -0.77,-0.07,0.27,0.84;RPY: 10.43,-30.37,121.62
Q4: -0.47,-0.04,0.27,0.84;RPY: 10.50,-30.06,121.81
Q4: -0.47,-0.04,0.27,0.84;RPY: 10.06,-29.18,122.25
Q4: -0.47,-0.04,0.26,0.84;RPY: 10.12,-28.87,122.37
Q4: -0.46,-0.04,0.26,0.85;RPY: 9.37,-28.81,122.68
Q4: -0.46,-0.04,0.26,0.85;RPY: 9.37,-28.93,122.56
Q4: -0.46,-0.04,0.26,0.85;RPY: 9.50,-28.93,122.62
Q4: -0.46,-0.04,0.26,0.85;RPY: 9.43,-28.81,122.87
Q4: -0.46,-0.04,0.26,0.85;RPY: 9.18,-29.37,122.93
Q4: -0.46,-0.05,0.26,0.85;RPY: 9.31,-29.37,122.75
Q4: -0.46,-0.05,0.26,0.85;RPY: 9.50,-29.31,123.00
Q4: -0.46,-0.04,0.26,0.85;RPY: 9.62,-28.43,123.00
Q4: -0.46,-0.04,0.25,0.85;RPY: 9.62,-28.43,122.87
Q4: -0.46,-0.04,0.26,0.85;RPY: 9.93,-28.06,122.81
Q4: -0.46,-0.04,0.25,0.85;RPY: 9.81,-28.06,123.18
Q4: -0.46,-0.04,0.25,0.85;RPY: 10.18,-27.81,122.68

Q4: -0.57,-0.04,0.44,0.69;RPY: 26.56,-48.25,100.81
Q4: -0.57,-0.04,0.45,0.69;RPY: 26.00,-48.62,100.87
