RPY: 79.75,-140.68,140.87
Q4: -0.22,0.68,0.33,0.62;RPY: 79.00,-141.25,141.93
Q4: -0.21,0.68,0.33,0.62;RPY: 78.37,-137.06,144.75
Q4: -0.20,0.68,0.33,0.62;RPY: 78.43,-137.06,144.68
Q4: -0.20,0.68,0.33,0.62;RPY: 78.25,-137.43,144.06
Q4: -0.20,0.68,0.33,0.62;RPY: 78.31,-136.81,144.12
Q4: -0.20,0.68,0.33,0.62;RPY: 78.06,-139.68,144.00
Q4: -0.20,0.69,0.33,0.62;RPY: 78.12,-140.62,143.75
Q4: -0.20,0.69,0.33,0.62;RPY: 78.00,-142.18,143.93
Q4: -0.20,0.69,0.33,0.61;RPY: 76.50,-147.31,145.56
Q4: -0.19,0.70,0.32,0.61;RPY: 72.31,-155.25,149.75
Q4: -0.16,0.74,0.31,0.58;RPY: 38.31,-164.00,132.87
Q4: -0.03,0.86,0.37,0.35;RPY: 7.31,-167.50,127.18
Q4: 0.07,0.89,0.44,0.11;RPY: -48.87,172.81,126.68
Q4: 0.19,0.76,0.49,-0.37;RPY: -53.18,170.12,128.43
Q4: 0.20,0.75,0.49,-0.41;RPY: -68.62,136.56,137.81
Q4: 0.22,0.64,0.47,-0.57;RPY: -63.50,60.75,146.75
Q4: 0.22,0.48,0.40,-0.75;RPY: -63.62,60.50,146.50
Q4: 0.22,0.48,0.40,-0.75;RPY: -63.75,57.12,144.62
Q4: 0.24,0.47,0.40,-0.75;RPY: -63.62,56.93,144.43
Q4: 0.24,0.47,0.40,-0.75;RPY: -64.18,56.93,144.37
Q4: 0.24,0.47,0.40,-0.75;RPY: -64.06,56.50,144.56
Q4: 0.24,0.47,0.39,-0.75;RPY: -64.00,56.12,144.75
Q4: 0.24,0.47,0.39,-0.75;RPY: -63.81,55.87,145.18
Q4: 0.24,0.47,0.39,-0.75;RPY: -63.25,55.50,145.68
Q4: 0.23,0.47,0.39,-0.76;RPY: -64.12,55.50,145.06
Q4: 0.24,0.48,0.39,-0.75;RPY: -64.25,55.50,145.00
Q4: 0.24,0.48,0.39,-0.75;RPY: -64.68,55.18,141.50
Q4: 0.26,0.47,0.40,-0.74;RPY: -65.18,52.43,140.25
Q4: 0.27,0.47,0.39,-0.75;RPY: -65.81,53.68,140.31
Q4: 0.27,0.47,0.39,-0.74;RPY: -66.62,54.75,139.68
Q4: 0.27,0.48,0.40,-0.74;RPY: -67.56,56.56,139.12
